,song_id,song_name,artist,popularity,is_explicit,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,4ANZKZkg74qHyVgd0gwO32,Sorry Bro,SALES,51.0,0.0,SALES LP,2016-04-20,0.677,0.479,9,-11.532,0,0.0344,0.804,0.767,0.105,0.4,98.026,audio_features,4ANZKZkg74qHyVgd0gwO32,spotify:track:4ANZKZkg74qHyVgd0gwO32,https://api.spotify.com/v1/tracks/4ANZKZkg74qHyVgd0gwO32,https://api.spotify.com/v1/audio-analysis/4ANZKZkg74qHyVgd0gwO32,151837,4
1,3dmsgudsfeGdQ9NsZFOm0C,Lovefool,No Vacation,57.0,0.0,Amo XO,2015-04-06,0.819,0.688,2,-5.967,0,0.0363,0.0549,0.0568,0.0799,0.961,104.013,audio_features,3dmsgudsfeGdQ9NsZFOm0C,spotify:track:3dmsgudsfeGdQ9NsZFOm0C,https://api.spotify.com/v1/tracks/3dmsgudsfeGdQ9NsZFOm0C,https://api.spotify.com/v1/audio-analysis/3dmsgudsfeGdQ9NsZFOm0C,130962,4
2,2HcyIzVsX45jLIxK7SH2aI,One Love / People Get Ready - Medley,Bob Marley & The Wailers,73.0,0.0,Exodus (Deluxe Edition),1977-01-03,0.725,0.523,10,-9.593,1,0.324,0.0783,0.0,0.0665,0.95,76.292,audio_features,2HcyIzVsX45jLIxK7SH2aI,spotify:track:2HcyIzVsX45jLIxK7SH2aI,https://api.spotify.com/v1/tracks/2HcyIzVsX45jLIxK7SH2aI,https://api.spotify.com/v1/audio-analysis/2HcyIzVsX45jLIxK7SH2aI,172933,4
3,3ri4y4r1BFc9YiPNgFXeGW,Obvious Bicycle,Vampire Weekend,48.0,0.0,Modern Vampires of the City,2013-05-13,0.661,0.282,9,-12.489,1,0.0542,0.417,0.000156,0.227,0.12,89.997,audio_features,3ri4y4r1BFc9YiPNgFXeGW,spotify:track:3ri4y4r1BFc9YiPNgFXeGW,https://api.spotify.com/v1/tracks/3ri4y4r1BFc9YiPNgFXeGW,https://api.spotify.com/v1/audio-analysis/3ri4y4r1BFc9YiPNgFXeGW,251253,4
4,1AmsqMwCRHj7BCtsZr7ZeY,Ya Hey,Vampire Weekend,50.0,0.0,Modern Vampires of the City,2013-05-13,0.581,0.65,11,-6.594,1,0.0533,0.168,0.000413,0.0945,0.502,91.983,audio_features,1AmsqMwCRHj7BCtsZr7ZeY,spotify:track:1AmsqMwCRHj7BCtsZr7ZeY,https://api.spotify.com/v1/tracks/1AmsqMwCRHj7BCtsZr7ZeY,https://api.spotify.com/v1/audio-analysis/1AmsqMwCRHj7BCtsZr7ZeY,312653,4
5,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,86.0,1.0,Good Days,2020-12-25,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,3YJJjQPAbDT7mGpX3WtQ9A,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204,4
6,2X3J1zgsKEkTSYnjsUQlUZ,Be Sweet,Japanese Breakfast,61.0,0.0,Be Sweet,2021-03-02,0.653,0.875,2,-5.815,0,0.0274,0.00976,1.03e-05,0.329,0.61,109.988,audio_features,2X3J1zgsKEkTSYnjsUQlUZ,spotify:track:2X3J1zgsKEkTSYnjsUQlUZ,https://api.spotify.com/v1/tracks/2X3J1zgsKEkTSYnjsUQlUZ,https://api.spotify.com/v1/audio-analysis/2X3J1zgsKEkTSYnjsUQlUZ,195371,4
7,5etvVR36xgYO9VawprrrkI,Something,Dayglow,54.0,0.0,Something,2021-02-22,0.817,0.661,0,-4.835,0,0.102,0.0668,3.25e-06,0.162,0.945,139.994,audio_features,5etvVR36xgYO9VawprrrkI,spotify:track:5etvVR36xgYO9VawprrrkI,https://api.spotify.com/v1/tracks/5etvVR36xgYO9VawprrrkI,https://api.spotify.com/v1/audio-analysis/5etvVR36xgYO9VawprrrkI,114320,4
8,5uDohC8URXwbGiHAMuKGoa,Rocky,Still Woozy,69.0,0.0,Rocky,2021-02-19,0.734,0.518,11,-9.514,0,0.0813,0.556,0.00282,0.111,0.555,101.083,audio_features,5uDohC8URXwbGiHAMuKGoa,spotify:track:5uDohC8URXwbGiHAMuKGoa,https://api.spotify.com/v1/tracks/5uDohC8URXwbGiHAMuKGoa,https://api.spotify.com/v1/audio-analysis/5uDohC8URXwbGiHAMuKGoa,166000,4
9,1HBXXiiegRl0TpzgikBBTP,Shirim,Melody's Echo Chamber,52.0,0.0,Bon Voyage,2018-06-15,0.648,0.71,0,-10.992,1,0.0607,0.0462,0.445,0.254,0.528,101.163,audio_features,1HBXXiiegRl0TpzgikBBTP,spotify:track:1HBXXiiegRl0TpzgikBBTP,https://api.spotify.com/v1/tracks/1HBXXiiegRl0TpzgikBBTP,https://api.spotify.com/v1/audio-analysis/1HBXXiiegRl0TpzgikBBTP,286681,4
10,5KboIqx30dztT6wmEVFn17,Baby I Don’t Know Oh Oh (feat. Charles Jones),Vulfpeck,52.0,0.0,Mr Finish Line,2017-11-07,0.638,0.477,7,-6.144,1,0.055,0.193,0.000153,0.358,0.484,112.737,audio_features,5KboIqx30dztT6wmEVFn17,spotify:track:5KboIqx30dztT6wmEVFn17,https://api.spotify.com/v1/tracks/5KboIqx30dztT6wmEVFn17,https://api.spotify.com/v1/audio-analysis/5KboIqx30dztT6wmEVFn17,208955,4
